image_paths,title,price,post_url,location
images\listing_16_image_1.png_20240927_122814.png,STEAMER HOUSE,"PHP1,000",https://www.facebook.com/marketplace/item/1072047957771864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_17_image_1.png_20240927_122852.png,House and Lot Near Tagaytay (Location: Batulao along Tagaytay-Nasugbu Road),"PHP4,599,999",https://www.facebook.com/marketplace/item/1583809808875602/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_18_image_1.png_20240927_122900.png, images\listing_18_image_2.png_20240927_122901.png",Baguio city Affordable transient house,PHP600,https://www.facebook.com/marketplace/item/2104679513267448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_19_image_1.png_20240927_122907.png, images\listing_19_image_2.png_20240927_122909.png, images\listing_19_image_3.png_20240927_122910.png, images\listing_19_image_4.png_20240927_122912.png, images\listing_19_image_5.png_20240927_122914.png, images\listing_19_image_6.png_20240927_122915.png, images\listing_19_image_7.png_20240927_122917.png, images\listing_19_image_8.png_20240927_122918.png, images\listing_19_image_9.png_20240927_122920.png",House and Lot for Sale New Haven Quezon City,"PHP7,400,000",https://www.facebook.com/marketplace/item/426762109985810/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_21_image_1.png_20240927_122942.png, images\listing_21_image_2.png_20240927_122944.png, images\listing_21_image_3.png_20240927_122946.png",BF RESORT HOUSE FOR RENT,"PHP30,000",https://www.facebook.com/marketplace/item/1481434195832828/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_22_image_1.png_20240927_122952.png,House hold,PHP900,https://www.facebook.com/marketplace/item/971014981450854/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_23_image_1.png_20240927_122958.png, images\listing_23_image_2.png_20240927_122959.png",House & Lot For Sale (Vito Cruz Area),PHP2,https://www.facebook.com/marketplace/item/2166147283786541/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_24_image_1.png_20240927_123005.png, images\listing_24_image_2.png_20240927_123007.png, images\listing_24_image_3.png_20240927_123008.png, images\listing_24_image_4.png_20240927_123010.png, images\listing_24_image_5.png_20240927_123011.png, images\listing_24_image_6.png_20240927_123013.png, images\listing_24_image_7.png_20240927_123014.png, images\listing_24_image_8.png_20240927_123016.png",Smart house,"PHP120,000",https://www.facebook.com/marketplace/item/3775728139373286/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_25_image_1.png_20240927_123022.png, images\listing_25_image_2.png_20240927_123024.png, images\listing_25_image_3.png_20240927_123025.png, images\listing_25_image_4.png_20240927_123027.png, images\listing_25_image_5.png_20240927_123028.png, images\listing_25_image_6.png_20240927_123030.png, images\listing_25_image_7.png_20240927_123032.png, images\listing_25_image_8.png_20240927_123033.png",Town house maynila sta ana,PHP7,https://www.facebook.com/marketplace/item/848508897378635/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_26_image_1.png_20240927_123039.png, images\listing_26_image_2.png_20240927_123041.png, images\listing_26_image_3.png_20240927_123042.png, images\listing_26_image_4.png_20240927_123044.png, images\listing_26_image_5.png_20240927_123046.png",House n lot,"PHP1,500,000",https://www.facebook.com/marketplace/item/555261743595769/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
