image_paths,title,price,post_url,location
"images\listing_219_image_1.png_20240927_133117.png, images\listing_219_image_2.png_20240927_133119.png, images\listing_219_image_3.png_20240927_133120.png",House,PHP150,https://www.facebook.com/marketplace/item/537016452409432/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_220_image_1.png_20240927_133126.png, images\listing_220_image_2.png_20240927_133128.png, images\listing_220_image_3.png_20240927_133129.png, images\listing_220_image_4.png_20240927_133131.png, images\listing_220_image_5.png_20240927_133132.png, images\listing_220_image_6.png_20240927_133134.png, images\listing_220_image_7.png_20240927_133135.png, images\listing_220_image_8.png_20240927_133137.png, images\listing_220_image_9.png_20240927_133138.png, images\listing_220_image_10.png_20240927_133140.png",house,PHP688,https://www.facebook.com/marketplace/item/553238993935989/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_222_image_1.png_20240927_133227.png, images\listing_222_image_2.png_20240927_133229.png, images\listing_222_image_3.png_20240927_133231.png, images\listing_222_image_4.png_20240927_133233.png, images\listing_222_image_5.png_20240927_133234.png",105 SQM QUEZON CITY HOUSE AND LOT RUSH!! RUSH!!,PHP15,https://www.facebook.com/marketplace/item/1646622469470738/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_223_image_1.png_20240927_133314.png, images\listing_223_image_2.png_20240927_133319.png, images\listing_223_image_3.png_20240927_133320.png, images\listing_223_image_4.png_20240927_133322.png, images\listing_223_image_5.png_20240927_133323.png",House and lot,$16,https://www.facebook.com/marketplace/item/557494146627427/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_224_image_1.png_20240927_133330.png, images\listing_224_image_2.png_20240927_133331.png, images\listing_224_image_3.png_20240927_133333.png, images\listing_224_image_4.png_20240927_133334.png, images\listing_224_image_5.png_20240927_133336.png, images\listing_224_image_6.png_20240927_133338.png, images\listing_224_image_7.png_20240927_133339.png, images\listing_224_image_8.png_20240927_133341.png, images\listing_224_image_9.png_20240927_133342.png, images\listing_224_image_10.png_20240927_133344.png",Beach House for SALE!!!!,PHP17,https://www.facebook.com/marketplace/item/949411643623615/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_225_image_1.png_20240927_133350.png, images\listing_225_image_2.png_20240927_133352.png, images\listing_225_image_3.png_20240927_133353.png, images\listing_225_image_4.png_20240927_133355.png, images\listing_225_image_5.png_20240927_133356.png, images\listing_225_image_6.png_20240927_133358.png, images\listing_225_image_7.png_20240927_133359.png","House and Lot in Novaliches Quezon City
Near Mindanao Ave",PHP6,https://www.facebook.com/marketplace/item/856578456334755/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_226_image_1.png_20240927_133405.png,"For Sale ❗️❗️
Two Storey Town House/ House&Lot
📍Location: Imugan Bago Bantay Quezon City","PHP3,800,000",https://www.facebook.com/marketplace/item/812292864313183/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_227_image_1.png_20240927_133410.png,Residential / Commercial house and lot for sale in Sta Ana Manila,PHP7,https://www.facebook.com/marketplace/item/7644868478894144/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_228_image_1.png_20240927_133451.png, images\listing_228_image_2.png_20240927_133453.png, images\listing_228_image_3.png_20240927_133455.png, images\listing_228_image_6.png_20240927_133500.png, images\listing_228_image_7.png_20240927_133501.png, images\listing_228_image_8.png_20240927_133503.png, images\listing_228_image_9.png_20240927_133504.png, images\listing_228_image_10.png_20240927_133506.png",House & Lot for sales,"$1,700,000",https://www.facebook.com/marketplace/item/523339940089787/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_229_image_1.png_20240927_133511.png, images\listing_229_image_2.png_20240927_133513.png",House and Lot in Poblacion Makati,PHP100,https://www.facebook.com/marketplace/item/532227079252738/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_230_image_1.png_20240927_133519.png, images\listing_230_image_2.png_20240927_133521.png, images\listing_230_image_3.png_20240927_133522.png",Lot and old house,"PHP2,500,000",https://www.facebook.com/marketplace/item/1220134949208187/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_231_image_1.png_20240927_133529.png, images\listing_231_image_2.png_20240927_133530.png, images\listing_231_image_3.png_20240927_133532.png",House & lot for sale commercial area,PHP14,https://www.facebook.com/marketplace/item/1322241302076849/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Caloocan City, NCR"
"images\listing_232_image_1.png_20240927_133537.png, images\listing_232_image_2.png_20240927_133539.png, images\listing_232_image_3.png_20240927_133540.png, images\listing_232_image_4.png_20240927_133542.png, images\listing_232_image_5.png_20240927_133543.png, images\listing_232_image_6.png_20240927_133545.png, images\listing_232_image_7.png_20240927_133546.png, images\listing_232_image_8.png_20240927_133548.png, images\listing_232_image_9.png_20240927_133549.png, images\listing_232_image_10.png_20240927_133551.png",Beachfront Guest House in Mindoro BESIDE PUERTO GALERA,PHP15,https://www.facebook.com/marketplace/item/1056709989298634/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_233_image_1.png_20240927_133633.png, images\listing_233_image_2.png_20240927_133636.png, images\listing_233_image_3.png_20240927_133638.png",For Rent Duplex House in San Lorenzo Village Makati City,"PHP200,000",https://www.facebook.com/marketplace/item/715119754147006/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
images\listing_234_image_1.png_20240927_133642.png,Lot for sale (dilapidated house),PHP15,https://www.facebook.com/marketplace/item/850942233888464/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_235_image_1.png_20240927_133648.png, images\listing_235_image_2.png_20240927_133649.png, images\listing_235_image_3.png_20240927_133651.png",‼️NEW MANILA HOUSE AND LOT FOR SALE‼️,"PHP170,000",https://www.facebook.com/marketplace/item/1451602025504580/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_236_image_1.png_20240927_133655.png,Sampaloc Manila House and Lot For Sale,PHP10,https://www.facebook.com/marketplace/item/839423858337561/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_237_image_1.png_20240927_133700.png,House and Lot for Sale Mandaluyong City,"PHP3,400,000",https://www.facebook.com/marketplace/item/1038869291196972/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Mandaluyong, NCR"
images\listing_238_image_1.png_20240927_133705.png,"FOR SALE ‼️ 
House(gibain) & lot",PHP15,https://www.facebook.com/marketplace/item/881302963995026/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_239_image_1.png_20240927_133711.png, images\listing_239_image_2.png_20240927_133713.png, images\listing_239_image_3.png_20240927_133714.png, images\listing_239_image_4.png_20240927_133716.png, images\listing_239_image_5.png_20240927_133717.png, images\listing_239_image_6.png_20240927_133719.png, images\listing_239_image_7.png_20240927_133720.png",House and lot,PHP35,https://www.facebook.com/marketplace/item/1983575555423391/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_240_image_1.png_20240927_133727.png, images\listing_240_image_2.png_20240927_133728.png, images\listing_240_image_3.png_20240927_133730.png",PREFAB CONTAINER HOUSE FOR SALE,PHP160,https://www.facebook.com/marketplace/item/526626393294138/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_241_image_1.png_20240927_133736.png, images\listing_241_image_2.png_20240927_133737.png, images\listing_241_image_3.png_20240927_133739.png, images\listing_241_image_4.png_20240927_133741.png, images\listing_241_image_5.png_20240927_133742.png, images\listing_241_image_6.png_20240927_133744.png",guard house,PHP8,https://www.facebook.com/marketplace/item/843364347894407/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_242_image_1.png_20240927_133750.png, images\listing_242_image_2.png_20240927_133751.png, images\listing_242_image_3.png_20240927_133753.png, images\listing_242_image_4.png_20240927_133755.png, images\listing_242_image_5.png_20240927_133756.png","Concorde village house for rent near Okada, COD, solaire","PHP100,000",https://www.facebook.com/marketplace/item/8305653912856941/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Pasay City, NCR"
"images\listing_243_image_1.png_20240927_133802.png, images\listing_243_image_2.png_20240927_133804.png, images\listing_243_image_3.png_20240927_133805.png, images\listing_243_image_4.png_20240927_133807.png, images\listing_243_image_5.png_20240927_133809.png, images\listing_243_image_6.png_20240927_133810.png, images\listing_243_image_7.png_20240927_133812.png, images\listing_243_image_8.png_20240927_133813.png, images\listing_243_image_9.png_20240927_133815.png, images\listing_243_image_10.png_20240927_133816.png",House & Lot,"PHP10,000",https://www.facebook.com/marketplace/item/1232375728108050/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Pasay City, NCR"
"images\listing_244_image_1.png_20240927_133822.png, images\listing_244_image_2.png_20240927_133824.png","For sale 2storeys house  3bedrms- 1 toilet & bath with park/LA:54sqm      Ino/near Libertad,Pasay","PHP5,500,000",https://www.facebook.com/marketplace/item/982489760139723/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Pasay City, NCR"
"images\listing_245_image_1.png_20240927_133830.png, images\listing_245_image_2.png_20240927_133831.png, images\listing_245_image_3.png_20240927_133833.png, images\listing_245_image_4.png_20240927_133835.png, images\listing_245_image_5.png_20240927_133836.png, images\listing_245_image_6.png_20240927_133838.png, images\listing_245_image_7.png_20240927_133840.png, images\listing_245_image_8.png_20240927_133842.png, images\listing_245_image_9.png_20240927_133843.png, images\listing_245_image_10.png_20240927_133845.png",Modern House in WHITE PLAINS nr Valle Verde Greenmeadows Corinthian Greenhills,PHP295,https://www.facebook.com/marketplace/item/825340826437466/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_246_image_1.png_20240927_133851.png, images\listing_246_image_2.png_20240927_133852.png, images\listing_246_image_3.png_20240927_133854.png",House and lot,PHP87,https://www.facebook.com/marketplace/item/1168280094255292/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_247_image_1.png_20240927_133900.png, images\listing_247_image_2.png_20240927_133902.png, images\listing_247_image_3.png_20240927_133904.png, images\listing_247_image_4.png_20240927_133905.png, images\listing_247_image_5.png_20240927_133907.png, images\listing_247_image_6.png_20240927_133909.png, images\listing_247_image_7.png_20240927_133910.png, images\listing_247_image_8.png_20240927_133912.png, images\listing_247_image_9.png_20240927_133913.png, images\listing_247_image_10.png_20240927_133915.png",House and lot with own garage for sale in tondo,PHP15,https://www.facebook.com/marketplace/item/1000097681835409/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_248_image_1.png_20240927_133921.png, images\listing_248_image_4.png_20240927_133926.png, images\listing_248_image_5.png_20240927_133927.png, images\listing_248_image_6.png_20240927_133929.png, images\listing_248_image_7.png_20240927_133931.png, images\listing_248_image_8.png_20240927_133932.png",House and Lot for Sale Bangkal Makati,PHP22,https://www.facebook.com/marketplace/item/1805502506582549/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
images\listing_249_image_1.png_20240927_133937.png,House and Lot,"PHP17,000",https://www.facebook.com/marketplace/item/1249312959833399/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_250_image_1.png_20240927_133942.png, images\listing_250_image_2.png_20240927_133943.png, images\listing_250_image_3.png_20240927_133945.png, images\listing_250_image_4.png_20240927_133946.png, images\listing_250_image_5.png_20240927_133948.png, images\listing_250_image_6.png_20240927_133949.png, images\listing_250_image_7.png_20240927_133951.png, images\listing_250_image_8.png_20240927_133952.png, images\listing_250_image_9.png_20240927_133954.png, images\listing_250_image_10.png_20240927_133955.png",House 4 sale,PHP26,https://www.facebook.com/marketplace/item/489892620551340/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_251_image_1.png_20240927_134001.png, images\listing_251_image_2.png_20240927_134002.png, images\listing_251_image_3.png_20240927_134004.png, images\listing_251_image_4.png_20240927_134006.png, images\listing_251_image_5.png_20240927_134007.png, images\listing_251_image_6.png_20240927_134009.png, images\listing_251_image_7.png_20240927_134011.png, images\listing_251_image_8.png_20240927_134012.png, images\listing_251_image_9.png_20240927_134014.png, images\listing_251_image_10.png_20240927_134015.png",HOUSE AND LOT FOR RENT/SALE,"PHP150,000",https://www.facebook.com/marketplace/item/830463805913663/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_252_image_1.png_20240927_134055.png, images\listing_252_image_2.png_20240927_134058.png, images\listing_252_image_3.png_20240927_134059.png, images\listing_252_image_4.png_20240927_134101.png, images\listing_252_image_5.png_20240927_134102.png, images\listing_252_image_6.png_20240927_134104.png, images\listing_252_image_7.png_20240927_134105.png, images\listing_252_image_8.png_20240927_134107.png, images\listing_252_image_9.png_20240927_134108.png, images\listing_252_image_10.png_20240927_134110.png","Income Generating - 2-Storey Residential House For Sale in Pandacan, Manila",PHP14,https://www.facebook.com/marketplace/item/1224256892173299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_253_image_1.png_20240927_134115.png, images\listing_253_image_2.png_20240927_134117.png, images\listing_253_image_3.png_20240927_134118.png, images\listing_253_image_4.png_20240927_134120.png, images\listing_253_image_5.png_20240927_134122.png, images\listing_253_image_6.png_20240927_134123.png, images\listing_253_image_7.png_20240927_134125.png",3 Beds 2 Baths House,"PHP8,500,000",https://www.facebook.com/marketplace/item/1072391801086308/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Caloocan City, NCR"
"images\listing_254_image_1.png_20240927_134130.png, images\listing_254_image_2.png_20240927_134132.png, images\listing_254_image_3.png_20240927_134133.png, images\listing_254_image_4.png_20240927_134135.png, images\listing_254_image_5.png_20240927_134136.png, images\listing_254_image_6.png_20240927_134138.png",Makati House For Lease With Garage,PHP35,https://www.facebook.com/marketplace/item/503968679086070/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_255_image_1.png_20240927_134145.png, images\listing_255_image_2.png_20240927_134147.png, images\listing_255_image_3.png_20240927_134148.png, images\listing_255_image_4.png_20240927_134150.png, images\listing_255_image_5.png_20240927_134151.png, images\listing_255_image_6.png_20240927_134153.png, images\listing_255_image_7.png_20240927_134154.png, images\listing_255_image_8.png_20240927_134156.png, images\listing_255_image_9.png_20240927_134157.png, images\listing_255_image_10.png_20240927_134159.png","FILINVEST 2, IBP, QC
DUPLEX HOUSE & LOT 
288 SQM; Corner Lot 
Clean Title; 13M (DBO)
[hidden information]",PHP13,https://www.facebook.com/marketplace/item/1107298120360340/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_256_image_1.png_20240927_134205.png, images\listing_256_image_2.png_20240927_134206.png, images\listing_256_image_3.png_20240927_134208.png, images\listing_256_image_4.png_20240927_134209.png, images\listing_256_image_5.png_20240927_134211.png, images\listing_256_image_6.png_20240927_134213.png, images\listing_256_image_7.png_20240927_134214.png, images\listing_256_image_8.png_20240927_134216.png, images\listing_256_image_9.png_20240927_134218.png, images\listing_256_image_10.png_20240927_134219.png","Luxury 5BR House & Lot Acacia Estates, Taguig",PHP42,https://www.facebook.com/marketplace/item/851062260497394/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_257_image_1.png_20240927_134300.png, images\listing_257_image_2.png_20240927_134303.png, images\listing_257_image_3.png_20240927_134304.png, images\listing_257_image_4.png_20240927_134306.png",House for Rent,"PHP12,000",https://www.facebook.com/marketplace/item/1045424210566298/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_258_image_1.png_20240927_134312.png, images\listing_258_image_2.png_20240927_134313.png, images\listing_258_image_3.png_20240927_134315.png, images\listing_258_image_4.png_20240927_134316.png, images\listing_258_image_5.png_20240927_134318.png, images\listing_258_image_6.png_20240927_134320.png, images\listing_258_image_7.png_20240927_134321.png, images\listing_258_image_8.png_20240927_134323.png",WACK WACK MANDALUYONG BRANDNEW HOUSE FOR SALE!,PHP80,https://www.facebook.com/marketplace/item/843404581235501/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Mandaluyong, NCR"
"images\listing_259_image_1.png_20240927_134329.png, images\listing_259_image_2.png_20240927_134331.png, images\listing_259_image_3.png_20240927_134332.png, images\listing_259_image_4.png_20240927_134334.png, images\listing_259_image_5.png_20240927_134335.png, images\listing_259_image_6.png_20240927_134337.png, images\listing_259_image_7.png_20240927_134339.png, images\listing_259_image_8.png_20240927_134341.png, images\listing_259_image_9.png_20240927_134342.png, images\listing_259_image_10.png_20240927_134344.png",Ayala Alabang | Modern Filipino House | For Sale,PHP460,https://www.facebook.com/marketplace/item/833023851969156/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_260_image_1.png_20240927_134350.png, images\listing_260_image_2.png_20240927_134351.png, images\listing_260_image_3.png_20240927_134353.png, images\listing_260_image_4.png_20240927_134354.png, images\listing_260_image_5.png_20240927_134356.png, images\listing_260_image_6.png_20240927_134357.png","HOUSE AND LOT FOR SALE!  San Miguel Village, Makati City",PHP2,https://www.facebook.com/marketplace/item/1022019522693885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_261_image_1.png_20240927_134403.png, images\listing_261_image_2.png_20240927_134405.png",HOUSE N LOT W COMMERCIAL SLOTS,PHP95,https://www.facebook.com/marketplace/item/1215397699505574/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
"images\listing_262_image_1.png_20240927_134411.png, images\listing_262_image_2.png_20240927_134412.png, images\listing_262_image_3.png_20240927_134414.png, images\listing_262_image_4.png_20240927_134416.png, images\listing_262_image_5.png_20240927_134418.png, images\listing_262_image_6.png_20240927_134419.png, images\listing_262_image_7.png_20240927_134421.png, images\listing_262_image_8.png_20240927_134423.png, images\listing_262_image_9.png_20240927_134424.png, images\listing_262_image_10.png_20240927_134426.png",House and Lot for sale in Filinvest 2 Quezon City,PHP19,https://www.facebook.com/marketplace/item/791725969618888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_263_image_1.png_20240927_134432.png, images\listing_263_image_2.png_20240927_134434.png, images\listing_263_image_3.png_20240927_134436.png, images\listing_263_image_4.png_20240927_134437.png, images\listing_263_image_5.png_20240927_134439.png, images\listing_263_image_6.png_20240927_134441.png, images\listing_263_image_7.png_20240927_134442.png, images\listing_263_image_8.png_20240927_134444.png, images\listing_263_image_9.png_20240927_134446.png, images\listing_263_image_10.png_20240927_134447.png",Palanan Makati House and Lot,PHP38,https://www.facebook.com/marketplace/item/1862228827622589/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_264_image_1.png_20240927_134453.png, images\listing_264_image_2.png_20240927_134455.png, images\listing_264_image_3.png_20240927_134456.png, images\listing_264_image_4.png_20240927_134458.png, images\listing_264_image_5.png_20240927_134459.png, images\listing_264_image_6.png_20240927_134501.png, images\listing_264_image_7.png_20240927_134503.png, images\listing_264_image_8.png_20240927_134504.png, images\listing_264_image_9.png_20240927_134505.png, images\listing_264_image_10.png_20240927_134507.png","House and Lot for Sale in Roxas District, Quezon City ","PHP25,000,000",https://www.facebook.com/marketplace/item/459227120497436/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_265_image_1.png_20240927_134513.png, images\listing_265_image_2.png_20240927_134515.png, images\listing_265_image_3.png_20240927_134517.png, images\listing_265_image_4.png_20240927_134518.png, images\listing_265_image_5.png_20240927_134520.png, images\listing_265_image_6.png_20240927_134521.png, images\listing_265_image_7.png_20240927_134523.png, images\listing_265_image_8.png_20240927_134525.png, images\listing_265_image_9.png_20240927_134526.png, images\listing_265_image_10.png_20240927_134528.png",BRAND-NEW HOUSE AND LOT WITH ELEVATOR FOR SALE IN WACK-WACK MANDALUYONG CITY,PHP80,https://www.facebook.com/marketplace/item/487321807415705/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Mandaluyong, NCR"
"images\listing_266_image_1.png_20240927_134534.png, images\listing_266_image_2.png_20240927_134535.png, images\listing_266_image_3.png_20240927_134537.png, images\listing_266_image_4.png_20240927_134538.png, images\listing_266_image_5.png_20240927_134540.png, images\listing_266_image_7.png_20240927_134543.png, images\listing_266_image_8.png_20240927_134545.png, images\listing_266_image_9.png_20240927_134547.png",For Sale!!! Used Milk Tea House Equipment ALL IN!!! (with recipe),"PHP100,000",https://www.facebook.com/marketplace/item/534514732252928/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Quezon City, NCR"
"images\listing_267_image_1.png_20240927_134554.png, images\listing_267_image_2.png_20240927_134556.png, images\listing_267_image_3.png_20240927_134557.png, images\listing_267_image_4.png_20240927_134559.png, images\listing_267_image_5.png_20240927_134601.png, images\listing_267_image_6.png_20240927_134602.png, images\listing_267_image_7.png_20240927_134604.png, images\listing_267_image_8.png_20240927_134606.png, images\listing_267_image_9.png_20240927_134607.png, images\listing_267_image_10.png_20240927_134609.png",Bungalow house deparo caloocan,PHP85,https://www.facebook.com/marketplace/item/506485345470119/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Malabon, NCR"
images\listing_268_image_1.png_20240927_134614.png,HOUSE AND LOT FOR SALE IN BF HOMES PARAÑAQUE CITY,PHP46,https://www.facebook.com/marketplace/item/1489802334983123/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_269_image_1.png_20240927_134620.png, images\listing_269_image_2.png_20240927_134622.png",Town house in Makati,PHP20,https://www.facebook.com/marketplace/item/1249025256244567/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Makati, NCR"
"images\listing_270_image_1.png_20240927_134627.png, images\listing_270_image_2.png_20240927_134629.png, images\listing_270_image_3.png_20240927_134630.png, images\listing_270_image_4.png_20240927_134632.png, images\listing_270_image_5.png_20240927_134634.png, images\listing_270_image_6.png_20240927_134635.png, images\listing_270_image_7.png_20240927_134637.png",Paco Manila | House and Lot For Sale - #7541,"PHP68,950,000",https://www.facebook.com/marketplace/item/1937776809967572/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_271_image_1.png_20240927_134643.png, images\listing_271_image_2.png_20240927_134644.png",PREFAB KIOSK / GUARD HOUSE / FOOD STALL,"PHP30,000",https://www.facebook.com/marketplace/item/428842102978151/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
